album_title,category
Taylor Swift,Taylor Swift
Beautiful Eyes – EP,Non-Album Songs
Fearless (Platinum Edition),Fearless
Fearless (Taylor's Version),Fearless (TV)
Speak Now (Deluxe),Speak Now
Speak Now (Taylor's Version),Speak Now (TV)
Red (Deluxe Version),Red
Red (Taylor's Version),Red (TV)
1989 (Deluxe),1989
1989 (Taylor's Version) [Tangerine Edition],1989 (TV)
reputation,reputation
Lover,Lover
folklore (deluxe version),folklore
"Christmas Tree Farm - 12"" Single Picture Disc",Non-Album Songs
evermore (deluxe version),evermore
"Carolina (From The Motion Picture ""Where The Crawdads Sing"")",Non-Album Songs
Midnights (3am Edition),Midnights
Midnights (The Late Night Edition),Midnights
The More Red (Taylor's Version) Chapter,Non-Album Songs
The More Fearless (Taylor's Version) Chapter,Non-Album Songs
The More Lover Chapter,Non-Album Songs
The Taylor Swift Holiday Collection - EP,Non-Album Songs
