album_url,category,song_url,notes_optional
https://genius.com/albums/Andrew-lloyd-webber/Cats-highlights-from-the-motion-picture-soundtrack,Non-Album Songs,https://genius.com/Taylor-swift-beautiful-ghosts-lyrics,Beautiful Ghosts (Cats soundtrack)
https://genius.com/albums/Taylor-swift/Itunes-essentials,Non-Album Songs,https://genius.com/Taylor-swift-crazier-lyrics,Crazier (Hannah Montana Movie soundtrack)
https://genius.com/albums/Hannah-montana/Hannah-montana-the-movie-original-motion-picture-soundtrack,Non-Album Songs,https://genius.com/Hannah-montana-youll-always-find-your-way-back-home-lyrics,You'll Always Find Your Way Back Home (Hannah Montana Movie soundtrack)
https://genius.com/albums/Various-artists/Fifty-shades-darker-original-motion-picture-soundtrack,Non-Album Songs,https://genius.com/Zayn-and-taylor-swift-i-dont-wanna-live-forever-lyrics,I Don't Wanna Live Forever (Fifty Shades Darker soundtrack)
https://genius.com/albums/Boys-like-girls/Love-drunk,Other Artist Songs,https://genius.com/Boys-like-girls-two-is-better-than-one-lyrics,Two Is Better Than One (Boys Like Girls)
https://genius.com/albums/Now-thats-what-i-call-music/Now-thats-what-i-call-music-94-uk,Non-Album Songs,https://genius.com/Calvin-harris-this-is-what-you-came-for-lyrics,This Is What You Came For (Calvin Harris)
https://genius.com/albums/The-national/First-two-pages-of-frankenstein,Other Artist Songs,https://genius.com/The-national-the-alcott-lyrics,The Alcott (The National)
https://genius.com/albums/Big-red-machine/How-long-do-you-think-its-gonna-last,Other Artist Songs,https://genius.com/Big-red-machine-birch-lyrics,Birch (Big Red Machine)
https://genius.com/albums/Big-red-machine/How-long-do-you-think-its-gonna-last,Other Artist Songs,https://genius.com/Big-red-machine-renegade-lyrics,Renegade (Big Red Machine)
https://genius.com/albums/Shea-fisher/Shea,Other Artist Songs,https://genius.com/Shea-fisher-bein-with-my-baby-lyrics,Bein With My Baby (Shea Fisher)
